TE_name	ClassI_LTR	ClassI_nLTR
ClassI_LTR_Copia_204	0.99947995	0.00052004814
ClassI_LTR_Copia_205	0.94324905	0.056750923
ClassI_LTR_Copia_206	0.99999857	1.4892886e-06
ClassI_LTR_Copia_207	1.0	3.78646e-24
ClassI_LTR_Copia_208	0.9998723	0.00012766017
ClassI_LTR_Copia_209	1.0	1.1735041e-11
ClassI_LTR_Copia_210	0.99494404	0.00505595
ClassI_LTR_Copia_211	0.99999964	3.3347766e-07
ClassI_LTR_Copia_212	0.99999964	3.374926e-07
ClassI_LTR_Copia_213	0.99690044	0.0030995999
ClassI_LTR_Copia_214	0.99991596	8.4019426e-05
ClassI_LTR_Copia_215	1.0	3.2998337e-12
ClassI_LTR_Copia_216	0.9999269	7.305992e-05
ClassI_LTR_Copia_217	1.0	2.7034403e-24
ClassI_LTR_Copia_218	1.0	8.394286e-09
ClassI_LTR_Copia_219	1.0	1.2208876e-21
ClassI_LTR_Copia_220	0.9999995	4.178588e-07
ClassI_LTR_Copia_221	1.0	1.02242826e-19
ClassI_LTR_Copia_222	0.9925609	0.0074391
ClassI_LTR_Copia_224	1.0	1.3700525e-24
ClassI_LTR_Copia_225	0.9979482	0.0020518377
ClassI_LTR_Copia_226	0.9998092	0.00019085775
ClassI_LTR_Copia_227	0.9999758	2.4142246e-05
ClassI_LTR_Copia_228	1.0	1.0655809e-12
ClassI_LTR_Copia_229	1.0	1.0785965e-15
ClassI_LTR_Copia_230	1.0	4.682886e-08
ClassI_LTR_Copia_231	1.0	9.162272e-25
ClassI_LTR_Copia_232	1.0	4.8318633e-25
ClassI_LTR_Copia_233	1.0	4.306695e-15
ClassI_LTR_Copia_234	1.0	8.787405e-10
ClassI_LTR_Copia_235	1.0	1.2284685e-08
ClassI_LTR_Copia_236	1.0	8.381826e-27
ClassI_LTR_Copia_237	1.0	2.041093e-08
ClassI_LTR_Copia_238	0.99843246	0.001567523
ClassI_LTR_Copia_239	0.99839383	0.0016061218
ClassI_LTR_Copia_240	0.9999368	6.3196945e-05
ClassI_LTR_Copia_241	0.99999785	2.1060125e-06
ClassI_LTR_Copia_242	1.0	2.482817e-14
ClassI_LTR_Copia_243	0.8467049	0.15329504
ClassI_LTR_Copia_244	1.0	8.5409024e-23
ClassI_LTR_Copia_245	0.9993017	0.0006983302
ClassI_LTR_Copia_246	0.9857307	0.014269218
ClassI_LTR_Copia_247	0.9881869	0.01181312
ClassI_LTR_Copia_248	0.9999883	1.1697097e-05
ClassI_LTR_Copia_249	0.99988496	0.00011504193
ClassI_LTR_Copia_250	0.9999484	5.1559982e-05
ClassI_LTR_Copia_251	0.9999833	1.6728809e-05
ClassI_LTR_Copia_252	0.9985837	0.0014163103
ClassI_LTR_Copia_253	0.9935627	0.0064372816
ClassI_LTR_Copia_255	0.8631144	0.13688563
ClassI_LTR_Copia_256	0.9999976	2.3987182e-06
ClassI_LTR_Copia_257	1.0	2.7059688e-16
ClassI_LTR_Copia_258	1.0	3.967943e-27
ClassI_LTR_Copia_259	1.0	9.5992715e-17
ClassI_LTR_Copia_260	0.99999905	9.551425e-07
ClassI_LTR_Copia_261	1.0	5.071669e-20
ClassI_LTR_Copia_262	1.0	2.2491856e-18
ClassI_LTR_Copia_263	0.94304395	0.05695606
ClassI_LTR_Copia_264	0.98098993	0.019010086
ClassI_LTR_Copia_265	0.9999505	4.9513128e-05
ClassI_LTR_Copia_266	0.99998784	1.211258e-05
ClassI_LTR_Copia_267	1.0	2.2605393e-11
ClassI_LTR_Copia_268	0.99930465	0.00069538417
ClassI_LTR_Copia_269	1.0	1.606776e-19
ClassI_LTR_Copia_270	1.0	6.4072848e-18
ClassI_LTR_Copia_271	1.0	5.5973117e-22
ClassI_LTR_Copia_272	1.0	5.2799877e-14
ClassI_LTR_Copia_273	1.0	6.099457e-17
ClassI_LTR_Copia_274	0.97863215	0.021367773
ClassI_LTR_Copia_275	0.9591571	0.040842835
ClassI_LTR_Copia_276	1.0	3.9093227e-17
ClassI_LTR_Copia_277	0.99994373	5.627988e-05
ClassI_LTR_Copia_278	0.9999995	4.5085625e-07
ClassI_LTR_Copia_279	0.9994729	0.00052707054
ClassI_LTR_Copia_280	1.0	2.8043126e-15
ClassI_LTR_Copia_281	1.0	3.1123099e-10
ClassI_LTR_Copia_282	1.0	3.14059e-12
ClassI_LTR_Copia_283	1.0	1.3356122e-24
ClassI_LTR_Copia_284	1.0	1.6650656e-08
ClassI_LTR_Copia_285	1.0	9.89849e-28
ClassI_LTR_Copia_286	1.0	9.025828e-19
ClassI_LTR_Copia_287	1.0	3.6204865e-25
ClassI_LTR_Copia_288	1.0	1.6077963e-16
ClassI_LTR_Copia_289	0.99999976	1.9592854e-07
ClassI_LTR_Copia_290	1.0	3.893662e-19
ClassI_LTR_Copia_291	0.9835445	0.016455444
ClassI_LTR_Copia_292	0.9966786	0.003321449
ClassI_LTR_Copia_294	1.0	3.4075007e-22
ClassI_LTR_Copia_295	0.9975102	0.002489769
ClassI_LTR_Copia_296	0.9981951	0.0018048553
ClassI_LTR_Copia_297	1.0	7.093569e-26
ClassI_LTR_Copia_299	1.0	2.8261904e-10
ClassI_LTR_Copia_300	0.99913067	0.0008693641
ClassI_LTR_Copia_301	1.0	9.450807e-10
ClassI_LTR_Copia_302	1.0	7.692218e-33
ClassI_LTR_Copia_303	0.93966466	0.06033535
ClassI_LTR_Copia_304	1.0	4.391963e-19
ClassI_LTR_Copia_305	0.9991159	0.0008841395
ClassI_LTR_Copia_306	1.0	3.8789407e-19
ClassI_LTR_Copia_307	0.82325244	0.17674755
ClassI_LTR_Copia_308	0.9958768	0.004123181
ClassI_LTR_Copia_309	0.9999869	1.3165685e-05
ClassI_LTR_Copia_310	0.99999905	9.995422e-07
ClassI_LTR_Copia_311	1.0	4.0556866e-22
ClassI_LTR_Copia_312	0.99440104	0.005598944
ClassI_LTR_Copia_314	0.9999498	5.0222447e-05
ClassI_LTR_Copia_315	1.0	1.9503261e-09
ClassI_LTR_Copia_317	1.0	2.8698033e-18
ClassI_LTR_Copia_318	0.9999498	5.0222447e-05
ClassI_LTR_Copia_322	0.9995053	0.0004947379
ClassI_LTR_Copia_323	1.0	1.0439334e-22
ClassI_LTR_Copia_324	1.0	1.1027155e-20
ClassI_LTR_Copia_325	1.0	2.5700568e-22
ClassI_LTR_Copia_326	0.9501418	0.0498582
ClassI_LTR_Copia_327	0.9999901	9.863637e-06
ClassI_LTR_Copia_328	1.0	8.363955e-16
ClassI_LTR_Copia_329	1.0	1.8526387e-16
ClassI_LTR_Copia_330	0.9999995	4.4241304e-07
ClassI_LTR_Copia_331	1.0	2.631368e-20
ClassI_LTR_Copia_332	0.99825364	0.0017463105
ClassI_LTR_Copia_333	1.0	2.3442687e-32
ClassI_LTR_Copia_334	0.99228656	0.007713445
ClassI_LTR_Copia_335	0.9992204	0.00077964726
ClassI_LTR_Copia_337	1.0	3.717251e-15
ClassI_LTR_Copia_338	1.0	5.627282e-08
ClassI_LTR_Copia_339	0.999928	7.201276e-05
ClassI_LTR_Gypsy_340	1.0	1.1033994e-16
ClassI_LTR_Gypsy_342	0.56031704	0.43968296
ClassI_LTR_Gypsy_343	1.0	2.5612188e-11
ClassI_LTR_Gypsy_344	1.0	3.0118947e-08
ClassI_LTR_Gypsy_345	1.0	8.56016e-20
ClassI_LTR_Gypsy_346	0.99999714	2.8776535e-06
ClassI_LTR_Gypsy_348	0.19149978	0.8085002
ClassI_LTR_Gypsy_349	0.997766	0.0022340298
ClassI_LTR_Gypsy_350	0.9999958	4.192502e-06
ClassI_LTR_Gypsy_351	0.9999733	2.6724289e-05
ClassI_LTR_Gypsy_352	1.0	1.221554e-13
ClassI_LTR_Gypsy_353	1.0	4.1393034e-13
ClassI_LTR_Gypsy_354	0.99999297	7.0378646e-06
ClassI_LTR_Gypsy_355	1.0	7.999406e-10
ClassI_LTR_Gypsy_356	1.0	2.7923383e-13
ClassI_LTR_Gypsy_357	1.0	5.0230435e-16
ClassI_LTR_Gypsy_358	1.0	3.132878e-16
ClassI_LTR_Gypsy_359	0.985966	0.014033937
ClassI_LTR_Gypsy_360	1.0	3.8739563e-12
ClassI_LTR_Gypsy_361	1.0	6.42992e-11
ClassI_LTR_Gypsy_362	0.9999999	8.204389e-08
ClassI_LTR_Gypsy_363	1.0	2.8038466e-08
ClassI_LTR_Gypsy_364	1.0	5.1923743e-13
ClassI_LTR_Gypsy_365	1.0	9.437182e-19
ClassI_LTR_Gypsy_366	1.0	5.192184e-14
ClassI_LTR_Gypsy_367	0.94470006	0.055299886
ClassI_LTR_Gypsy_368	1.0	1.7627718e-14
ClassI_LTR_Gypsy_369	1.0	1.5470281e-09
ClassI_LTR_Gypsy_370	0.83362764	0.1663724
ClassI_LTR_Gypsy_371	0.32587433	0.67412573
ClassI_LTR_Gypsy_372	1.0	3.6029576e-12
ClassI_LTR_Gypsy_373	0.7088788	0.2911212
ClassI_LTR_Gypsy_374	1.0	4.6287134e-17
ClassI_LTR_Gypsy_375	1.0	3.4614243e-15
ClassI_LTR_Gypsy_376	1.0	1.1489642e-11
ClassI_LTR_Gypsy_377	1.0	1.8534351e-11
ClassI_LTR_Gypsy_378	0.999997	2.9589253e-06
ClassI_LTR_Gypsy_379	0.99997795	2.205539e-05
ClassI_LTR_Gypsy_380	1.0	1.2078702e-10
ClassI_LTR_Gypsy_381	0.9989029	0.001097023
ClassI_LTR_Gypsy_382	0.9794922	0.020507857
ClassI_LTR_Gypsy_383	0.9336979	0.06630213
ClassI_LTR_Gypsy_384	1.0	3.7422845e-19
ClassI_LTR_Gypsy_385	1.0	1.8611278e-09
ClassI_LTR_Gypsy_386	0.9993894	0.0006105769
ClassI_LTR_Gypsy_387	0.9999924	7.611382e-06
ClassI_LTR_Gypsy_389	1.0	4.8921043e-17
ClassI_LTR_Gypsy_390	1.0	1.0300694e-20
ClassI_LTR_Gypsy_391	1.0	1.8741042e-17
ClassI_LTR_Gypsy_392	0.9999975	2.44903e-06
ClassI_LTR_Gypsy_393	0.24759018	0.7524098
ClassI_LTR_Gypsy_394	1.0	1.2239024e-17
ClassI_LTR_Gypsy_395	0.99808717	0.0019128871
ClassI_LTR_Gypsy_396	1.0	1.8861223e-12
ClassI_LTR_Gypsy_397	1.0	5.4009536e-10
ClassI_LTR_Gypsy_398	0.99960476	0.00039524215
ClassI_LTR_Gypsy_399	0.83613235	0.16386767
ClassI_LTR_Gypsy_400	0.999853	0.00014702255
ClassI_LTR_Gypsy_401	1.0	5.7585806e-14
ClassI_LTR_Gypsy_402	1.0	1.25768e-08
ClassI_LTR_Gypsy_403	0.9971186	0.0028814839
ClassI_LTR_Gypsy_404	0.9999999	8.0172235e-08
ClassI_LTR_Gypsy_405	0.9999958	4.129377e-06
ClassI_LTR_Gypsy_406	1.0	2.7105058e-11
ClassI_LTR_Gypsy_407	1.0	3.752208e-10
ClassI_LTR_Gypsy_408	0.9970272	0.0029728413
ClassI_LTR_Gypsy_409	0.9967085	0.0032914646
ClassI_LTR_Gypsy_410	0.9999777	2.227531e-05
ClassI_LTR_Gypsy_411	0.9999907	9.346755e-06
ClassI_LTR_Gypsy_412	1.0	1.05813705e-17
ClassI_LTR_Gypsy_413	0.99768555	0.0023144544
ClassI_LTR_Gypsy_414	0.9999999	1.1950084e-07
ClassI_LTR_Gypsy_415	0.99999726	2.6837192e-06
ClassI_LTR_Gypsy_416	1.0	5.353713e-10
ClassI_LTR_Gypsy_417	1.0	1.0368291e-15
ClassI_LTR_Gypsy_418	0.9999956	4.381497e-06
ClassI_LTR_Gypsy_419	0.999529	0.0004710545
ClassI_LTR_Gypsy_420	0.9994659	0.0005341488
ClassI_LTR_Gypsy_421	0.99856263	0.0014374097
ClassI_LTR_Gypsy_422	1.0	4.3659675e-13
ClassI_LTR_Gypsy_423	1.0	9.424723e-10
ClassI_LTR_Gypsy_425	1.0	1.00502765e-25
ClassI_LTR_Gypsy_426	0.9989661	0.0010338741
ClassI_LTR_Gypsy_427	0.99962974	0.0003702067
ClassI_LTR_Gypsy_428	0.9616796	0.038320445
ClassI_LTR_Gypsy_429	1.0	8.8387284e-13
ClassI_LTR_Gypsy_430	0.9998385	0.00016144477
ClassI_LTR_Gypsy_431	0.9999839	1.6047265e-05
ClassI_LTR_Gypsy_432	0.9911398	0.008860129
ClassI_LTR_Gypsy_433	1.0	4.7018992e-14
ClassI_LTR_Gypsy_435	0.9998789	0.00012116154
ClassI_LTR_Gypsy_436	1.0	4.2992798e-13
ClassI_LTR_Gypsy_437	1.0	1.944155e-11
ClassI_LTR_Gypsy_439	0.49122888	0.5087711
ClassI_LTR_Gypsy_440	0.9999999	1.11024e-07
ClassI_LTR_Gypsy_441	0.9999999	1.3112002e-07
ClassI_LTR_Gypsy_442	0.99842477	0.0015752332
ClassI_LTR_Gypsy_444	1.0	6.9488935e-13
ClassI_LTR_Gypsy_445	1.0	2.6436673e-13
ClassI_LTR_Gypsy_446	1.0	1.9847681e-13
ClassI_LTR_Gypsy_447	1.0	1.2825699e-10
ClassI_LTR_Gypsy_448	0.999998	2.0455261e-06
ClassI_LTR_Gypsy_449	1.0	2.1261669e-10
ClassI_LTR_Gypsy_450	1.0	2.9243746e-10
ClassI_LTR_Gypsy_451	0.9997955	0.0002045781
ClassI_LTR_Gypsy_452	0.99989486	0.000105131505
ClassI_LTR_Gypsy_453	1.0	3.0124923e-08
ClassI_LTR_Gypsy_454	1.0	9.0920244e-11
ClassI_LTR_Gypsy_455	1.0	5.359953e-11
ClassI_LTR_Gypsy_456	0.97586447	0.024135513
ClassI_LTR_Gypsy_457	1.0	6.558958e-13
ClassI_LTR_Gypsy_458	0.9999995	5.013507e-07
ClassI_LTR_Gypsy_459	0.96516365	0.03483629
ClassI_LTR_Gypsy_460	0.999561	0.00043894906
ClassI_LTR_Gypsy_461	0.99999523	4.7207304e-06
ClassI_LTR_Gypsy_462	0.85553133	0.14446864
ClassI_LTR_Gypsy_463	0.9998248	0.00017524525
ClassI_LTR_Gypsy_464	1.0	3.5096937e-20
ClassI_LTR_Gypsy_465	0.999998	1.9840463e-06
ClassI_LTR_Gypsy_467	0.9155556	0.08444439
ClassI_LTR_Gypsy_469	1.0	1.9437898e-13
ClassI_LTR_Gypsy_470	0.9987465	0.0012534931
ClassI_LTR_Gypsy_471	0.99999976	2.3498446e-07
ClassI_LTR_Gypsy_472	0.99999416	5.821074e-06
ClassI_LTR_Gypsy_473	0.9999958	4.2195807e-06
ClassI_LTR_Gypsy_474	0.999997	2.9833102e-06
ClassI_LTR_Gypsy_475	1.0	3.755286e-14
ClassI_LTR_Gypsy_476	0.22676423	0.7732358
ClassI_LTR_Gypsy_477	0.99999917	8.7152364e-07
ClassI_LTR_Gypsy_478	0.90587586	0.09412414
ClassI_LTR_Gypsy_479	0.99414426	0.005855729
ClassI_LTR_Gypsy_480	1.0	7.618191e-18
ClassI_LTR_Gypsy_481	1.0	5.6477384e-10
ClassI_LTR_Gypsy_482	1.0	1.2042049e-19
ClassI_LTR_Gypsy_483	1.0	4.5074128e-20
ClassI_LTR_Gypsy_484	0.93886906	0.061130937
ClassI_LTR_Gypsy_485	0.9998642	0.00013577922
ClassI_LTR_Gypsy_486	1.0	2.5443053e-10
ClassI_LTR_Gypsy_487	1.0	1.2805296e-20
ClassI_LTR_Gypsy_489	1.0	8.624534e-20
ClassI_LTR_Gypsy_490	0.9980806	0.0019194349
ClassI_LTR_Gypsy_491	0.99497604	0.005024
ClassI_LTR_Gypsy_492	0.94434637	0.055653635
ClassI_LTR_Gypsy_493	1.0	3.5384206e-13
ClassI_LTR_Gypsy_494	1.0	6.890185e-18
ClassI_LTR_Gypsy_495	0.99997663	2.3380704e-05
ClassI_LTR_Gypsy_496	1.0	6.8826537e-12
ClassI_LTR_Gypsy_497	0.7023315	0.29766846
ClassI_LTR_Gypsy_498	1.0	5.558051e-16
ClassI_LTR_Gypsy_499	0.94569576	0.054304197
ClassI_LTR_Gypsy_500	0.9995425	0.0004575933
ClassI_LTR_Gypsy_502	1.0	5.7655e-23
ClassI_LTR_Gypsy_503	0.9999949	5.1249285e-06
ClassI_LTR_Gypsy_505	0.99992096	7.902093e-05
ClassI_LTR_Gypsy_506	0.9982962	0.0017038407
ClassI_LTR_Gypsy_507	1.0	3.3636638e-17
ClassI_LTR_Gypsy_508	1.0	9.916646e-14
ClassI_LTR_Gypsy_509	0.999987	1.3042866e-05
ClassI_LTR_Gypsy_511	0.9998964	0.00010362758
ClassI_LTR_Gypsy_512	1.0	1.1444956e-15
ClassI_LTR_Gypsy_513	1.0	2.147773e-14
ClassI_LTR_Gypsy_514	0.9999323	6.771586e-05
ClassI_LTR_Gypsy_515	1.0	2.6195153e-16
ClassI_LTR_Gypsy_517	1.0	2.2304648e-11
ClassI_LTR_Gypsy_518	1.0	3.1227733e-15
ClassI_LTR_Gypsy_519	1.0	4.0360653e-17
ClassI_LTR_Gypsy_520	1.0	2.457048e-14
ClassI_LTR_Gypsy_521	1.0	8.856213e-20
ClassI_LTR_Gypsy_522	0.9999907	9.246368e-06
ClassI_LTR_Gypsy_523	1.0	3.7135984e-13
ClassI_LTR_Gypsy_525	0.99669456	0.0033053977
ClassI_LTR_Gypsy_526	0.99999917	8.702828e-07
ClassI_LTR_Gypsy_527	0.9990569	0.0009430862
ClassI_LTR_Gypsy_529	0.9999999	1.2429356e-07
ClassI_LTR_Gypsy_530	1.0	1.0709243e-10
ClassI_LTR_Gypsy_531	0.9999269	7.305706e-05
ClassI_LTR_Gypsy_532	0.99987733	0.00012264043
ClassI_LTR_Gypsy_535	0.99999475	5.258203e-06
ClassI_LTR_Gypsy_536	1.0	5.1486225e-11
ClassI_LTR_Gypsy_537	0.9983006	0.0016994276
ClassI_LTR_Gypsy_538	1.0	2.217622e-09
ClassI_LTR_Gypsy_539	1.0	3.1345235e-11
ClassI_LTR_Gypsy_540	1.0	1.9508346e-14
ClassI_LTR_Gypsy_541	1.0	1.2716435e-16
ClassI_LTR_Gypsy_542	0.9999999	1.0531811e-07
ClassI_LTR_Gypsy_543	0.9983177	0.0016822946
ClassI_LTR_Gypsy_544	1.0	1.2267512e-21
